filename_audio|filename_transcript|transkripsi|ground_truth|wer|cer|hasil_llm|status|latency|path_audio_eval|correctness_1_5|naturalness_1_5|intelligibility_1_3
2128_audio1.wav|audio01.txt|Ya al-Qi, huridu buk flaik ilah jeddah al-usbu al-qadim hal bisa bantu ajidah afdal skedul warilhatan mubasyurah.|Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?|1.2727|1.1875|"```json {   """"perbaikan"""": """"Ya Al-Qi, saya ingin memesan tiket pesawat ke Jeddah minggu depan, apakah bisa membantu mencarikan jadwal terbaik dan penerbangan langsung?"""",   """"tagging"""": """"[AR:Ya al-Qi, huridu] [EN:buk flaik ilah] [AR:jeddah al-usbu al-qadim] [ID:hal bisa bantu ajidah afdal] [EN:skedul warilhatan mubasyurah]"""",   """"respon"""": """"Anda dapat mencari penerbangan langsung ke Jeddah melalui situs resmi maskapai penerbangan atau aplikasi perjalanan daring. Pastikan untuk memesan tiket sesegera mungkin guna mendapatkan jadwal terbaik untuk keberangkatan minggu depan."""" } ```"|SUCCESS|34.26|data/evaluation_output/audio_results\2128_audio1.wav|||
2128_audio10.wav|audio10.txt|Jelaskan step-by-step cara booking flag ke jeda secara online.|Apa perbedaan umrah dan hajj secara detail dalam Islam|1.0|0.8704|"```json {   """"perbaikan"""": """"Jelaskan langkah demi langkah cara memesan tiket pesawat ke Jeddah secara daring."""",   """"tagging"""": """"[ID:Jelaskan] [EN:step-by-step] [ID:cara] [EN:booking] [EN:flag] [ID:ke] [ID:jeda] [ID:secara] [ID:online]"""",   """"respon"""": """"Anda dapat mengakses situs resmi maskapai atau platform pemesanan tiket untuk memilih jadwal dan maskapai penerbangan. Setelah memilih jadwal, lengkapi data diri, lakukan pembayaran, dan pastikan Anda menerima e-tiket melalui surat elektronik."""" } ```"|SUCCESS|33.11|data/evaluation_output/audio_results\2128_audio10.wav|||
2128_audio2.wav|audio02.txt|uridu orange transport min jeda ila madinda ghadan|Aku butuh travel umrah simple tapi include Madinah visit|1.0|0.6964|"```json {   """"perbaikan"""": """"Saya ingin mengatur transportasi dari Jeddah ke Madinah besok."""",   """"tagging"""": """"[AR:uridu] [EN:orange] [EN:transport] [EN:min] [AR:jeda] [AR:ila] [AR:madinda] [AR:ghadan]"""",   """"respon"""": """"Anda dapat memesan layanan kereta cepat atau bus untuk perjalanan dari Jeddah ke Madinah besok. Disarankan untuk melakukan pemesanan tiket jauh sebelumnya agar mendapatkan jadwal yang diinginkan."""" } ```"|SUCCESS|34.36|data/evaluation_output/audio_results\2128_audio2.wav|||
2128_audio3.wav|audio03.txt|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow?|Can you help aku arrange transport dari Jeddah ke Madinah tomorrow|0.0909|0.0152|"```json {   """"perbaikan"""": """"Bisakah Anda membantu saya mengatur transportasi dari Jeddah ke Madinah besok?"""",   """"tagging"""": """"[EN:Can you help] [ID:aku] [EN:arrange transport] [ID:dari] [ID:Jeddah] [ID:ke] [ID:Madinah] [EN:tomorrow?]"""",   """"respon"""": """"Anda dapat memesan tiket kereta cepat atau layanan bus melalui aplikasi transportasi resmi untuk perjalanan besok. Pastikan Anda melakukan pemesanan segera agar mendapatkan jadwal yang sesuai dengan rencana Anda."""" } ```"|SUCCESS|47.89|data/evaluation_output/audio_results\2128_audio3.wav|||
2128_audio4.wav|audio04.txt|Explain step-by-step cara apply visa Saudi dengan benar.|Explain step by step cara apply visa Saudi dengan benar|0.4|0.0545|"```json {   """"perbaikan"""": """"Jelaskan langkah demi langkah cara mengajukan visa Arab Saudi dengan benar."""",   """"tagging"""": """"[EN:Explain step-by-step] [ID:cara apply visa Saudi dengan benar.]"""",   """"respon"""": """"Anda dapat mengajukan visa melalui situs resmi platform visa Arab Saudi atau melalui agen perjalanan resmi. Pastikan semua dokumen pendukung telah lengkap dan sesuai dengan ketentuan yang berlaku agar proses pengajuan berjalan lancar."""" } ```"|SUCCESS|32.59|data/evaluation_output/audio_results\2128_audio4.wav|||
2128_audio5.wav|audio05.txt|Aku mau book flight ke Jeddah minggu depan. Bisa bantu schedule?|Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?|0.7222|0.5776|"```json {   """"perbaikan"""": """"Saya ingin memesan tiket penerbangan ke Jeddah minggu depan. Bisakah Anda membantu mengatur jadwalnya?"""",   """"tagging"""": """"[ID:Aku] [ID:mau] [EN:book flight] [ID:ke] [ID:Jeddah] [ID:minggu] [ID:depan.] [ID:Bisa] [ID:bantu] [EN:schedule?]"""",   """"respon"""": """"Saya dapat memberikan informasi jadwal penerbangan umum, tetapi pemesanan tiket harus dilakukan melalui situs resmi maskapai atau agen perjalanan. Silakan tentukan tanggal keberangkatan Anda untuk bantuan lebih lanjut."""" } ```"|SUCCESS|51.93|data/evaluation_output/audio_results\2128_audio5.wav|||
2128_audio6.wav|audio06.txt|Aku butuh travel umrah simple, tapi ikut Medina Fisit.|Urīdu arrange transport min Jeddah ilā Madinah ghadan|1.125|0.7358|"```json {   """"perbaikan"""": """"Saya membutuhkan paket perjalanan umrah yang praktis, tetapi sudah termasuk kunjungan ke Madinah."""",   """"tagging"""": """"[ID:Aku butuh travel umrah simple, tapi ikut] [EN:Medina] [EN:Fisit]."""",   """"respon"""": """"Anda dapat mencari paket umrah praktis yang sudah mencakup kunjungan ke Madinah melalui agen perjalanan resmi. Pastikan untuk meninjau rincian rencana perjalanan agar sesuai dengan keinginan Anda."""" } ```"|SUCCESS|32.07|data/evaluation_output/audio_results\2128_audio6.wav|||
2128_audio7.wav|audio07.txt|How to prepare dokumen umrah dari Indonesia dengan benar.|Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan|1.0|0.7647|"```json {   """"perbaikan"""": """"Bagaimana cara menyiapkan dokumen umrah dari Indonesia dengan benar?"""",   """"tagging"""": """"[EN:How to prepare] [ID:dokumen umrah dari Indonesia dengan benar.]"""",   """"respon"""": """"Anda perlu menyiapkan paspor dengan masa berlaku minimal enam bulan, visa umrah, serta bukti vaksinasi yang diperlukan. Pastikan seluruh dokumen tersebut telah diverifikasi oleh biro perjalanan resmi Anda."""" } ```"|SUCCESS|45.62|data/evaluation_output/audio_results\2128_audio7.wav|||
2128_audio8.wav|audio08.txt|Bagaimana proses visa Saudi untuk Umrah dari Indonesia sekarang?|uridu schedule trip min jeddah ila makkah bukra sabah|1.0|0.9811|"```json {   """"perbaikan"""": """"Bagaimana proses visa Saudi untuk umrah dari Indonesia saat ini?"""",   """"tagging"""": """"[ID:Bagaimana proses visa Saudi untuk Umrah dari Indonesia sekarang?]"""",   """"respon"""": """"Proses visa umrah saat ini dapat dilakukan secara daring melalui platform resmi pemerintah Arab Saudi atau melalui biro perjalanan terpercaya. Pastikan paspor Anda masih berlaku setidaknya enam bulan sebelum memulai pengajuan."""" } ```"|SUCCESS|31.29|data/evaluation_output/audio_results\2128_audio8.wav|||
2128_audio9.wav|audio09.txt|Get aku cara pilih hotel di Mekah dekat Haram dengan budget terbatas.|mumkin book transport min makkah ila madinah untuk besok?|1.3333|0.8772|"```json {   """"perbaikan"""": """"Berikan saya cara memilih hotel di Mekah yang dekat dengan Masjidil Haram dengan anggaran terbatas."""",   """"tagging"""": """"[EN:Get] [ID:aku cara pilih hotel di Mekah dekat] [ID:Haram] [ID:dengan budget terbatas.]"""",   """"respon"""": """"Anda dapat mencari hotel di area perluasan atau area yang sedikit lebih jauh namun memiliki akses bus gratis menuju Masjidil Haram. Gunakan situs pemesanan daring untuk membandingkan harga dan mencari penawaran terbaik sesuai anggaran Anda."""" } ```"|SUCCESS|33.42|data/evaluation_output/audio_results\2128_audio9.wav|||
